chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
0.423235,0.019543776,1426.3311644789362,1028.2434392805585,2289.936153069369,0.08373809279057018,-506.40564,74.147705,25.475685,18.334282,13.399371,5.986594,-4.431967,-3.7463253,-3.75094,-4.742785,-3.8005269,-0.9009491,-4.7735624,-4.982021,1.3486165,-0.48769215,-5.960894,-2.8991823,-2.8008788,-5.2525396,REAL
0.41669294,0.022364516,1361.501990148683,1204.8981297972139,2346.7941425902186,0.06571502213138544,-516.7657,83.05795,33.374,20.887335,17.481667,10.318301,-4.643865,-5.943552,-2.0725543,-5.8354816,-4.082144,1.4290484,-1.4611117,-5.4165487,-0.33981735,0.62970895,-5.3865547,-1.5418662,-3.75013,-3.7273104,REAL
0.4246229,0.019314917,2146.194302061923,1468.2263263975447,3441.100840421866,0.11065478997388277,-506.33365,47.55044,10.447659,20.930765,13.85638,3.3303032,-1.0211977,-3.8837228,-5.777104,-6.024185,-5.9894238,-4.0318723,-3.8511324,-1.097714,1.8668576,2.6304462,-2.3855338,-2.461387,-1.0276152,-2.8218946,REAL
0.41887942,0.026459724,1657.6149584121308,1362.8311020969177,2780.1998551785023,0.0839673683001161,-485.3157,78.398315,26.900736,20.900108,15.55775,9.568759,-8.980637,-3.8613477,1.5805134,-8.397008,-5.248571,-1.0905932,-4.0787864,-10.037799,-0.1873745,1.1234331,-7.3014965,-0.64037186,-6.3358293,-5.082193,REAL
0.38558814,0.022697844,1603.8717844547498,1136.2985283990438,2579.1010711953368,0.08521981726489938,-514.36273,72.3341,32.786594,26.418192,14.531532,7.083708,1.0986952,-6.3688936,-6.1038976,-3.7915096,-3.853876,1.0531539,-5.0994673,-8.32521,-0.51448756,2.3051732,-7.024027,-5.253974,-1.1339086,-4.145526,REAL
0.39357173,0.0331105,1760.6860057365955,1404.3513341443836,3125.5760511253866,0.07138000205274343,-452.5084,79.646194,21.688883,30.251907,16.301521,8.088338,-9.575731,-2.5658958,-5.4113345,-9.355808,-7.394617,-7.259328,-2.286796,-7.439769,-3.5614178,-1.6382477,-5.359473,-2.4353926,-5.0415006,-4.9295025,REAL
0.33488452,0.04154024,1512.3993675306892,993.1576075547035,2375.791249577376,0.08964451313755796,-462.4962,88.312775,34.42327,24.132286,4.906253,6.950838,-7.7477126,-1.0565587,-6.718324,-12.627325,-7.0935335,-0.97888523,-2.104246,-10.178859,-0.26853496,-2.0832183,-7.2496033,-0.7068906,-5.855659,-5.208904,REAL
0.37063724,0.031072985,2115.28488151788,1234.340462212303,3220.0375870906587,0.1084474920305255,-477.308,71.26781,10.16219,19.92284,8.266114,9.472261,-9.044446,-2.0926185,-6.8120427,-9.853438,-5.344465,-5.0993695,-2.291009,-5.9190474,4.140889,-0.17559965,-6.061424,3.7664483,-2.8530505,-8.004222,REAL
0.35008553,0.037553538,1349.0585325550949,888.7275203717484,2115.6704886434986,0.06773525043469861,-489.46387,106.05965,37.386353,21.264133,14.893256,9.320289,-6.2457495,-1.1847167,-4.817573,-9.620456,-4.0701222,0.36915287,-4.784394,-10.627793,-2.6978493,1.855685,-4.5497847,-5.0792274,-5.1098866,-4.8295383,REAL
0.36049986,0.034985673,1663.0041536676829,1232.6257396456872,2753.920287142581,0.08039396070807574,-453.97687,87.08421,20.888906,30.05087,13.813401,5.688992,-8.954008,-1.1506363,-4.619095,-5.8984675,-5.2458043,-4.12985,0.906204,-8.196311,-1.6691464,-1.4004576,-8.303763,-0.61984426,-3.615195,-6.626381,REAL
0.34212554,0.03435366,1648.869478607925,1121.193886572594,2618.297717228555,0.09179800702762751,-479.47653,85.86902,37.78917,29.226303,14.5175295,5.1129513,-15.418285,-4.295488,-5.74013,-10.598157,-4.7986536,-4.2275863,-4.698483,-11.4288225,-3.5134237,-2.2377071,-9.402719,-2.1608331,-3.5728827,-6.2205067,REAL
0.3858474,0.035586137,1526.7364334921813,1050.3752640161774,2451.906296790475,0.08105166875965997,-493.04767,95.87877,35.838867,23.637217,11.242204,6.682732,-4.803929,3.2387383,-5.1189914,-11.193123,-3.4319756,-2.551326,-5.814309,-12.732266,-2.1095476,0.674631,-4.8633957,-0.14947806,-2.5646453,-4.5032816,REAL
0.3325486,0.040041924,1640.5846710175003,1170.556061457575,2656.696377360655,0.09419526420015456,-430.91766,82.33789,15.503766,29.628996,14.749381,3.9697363,-8.353029,-0.16684742,-4.522335,-5.9305615,-3.5497074,-2.9290903,-0.5273332,-6.799133,-1.9518745,-2.2482882,-5.4770923,-3.439863,-4.7948923,-3.5688782,REAL
0.36743447,0.034572165,1433.1342714041552,986.0587616807139,2249.0881517460393,0.07709674157167697,-498.3824,94.18549,44.1912,29.084627,11.4447975,5.221279,-9.478752,-4.549339,-12.157502,-13.707182,-7.4063096,-1.4064966,-2.3467362,-7.4879622,-2.9165337,-3.8783388,-5.130278,0.40339553,-3.1110313,-5.655029,REAL
0.35107788,0.035146043,1767.9455093509625,1201.3658924278545,2749.119414575686,0.08498735147797527,-472.6026,90.2229,29.082218,26.629858,13.636485,10.297047,-15.652074,-0.5376441,-1.175369,-10.180411,-4.0478168,-1.3743198,-4.0920258,-9.667787,-1.8820863,-3.2019794,-7.2080455,-3.7106164,-6.9368587,-6.5807233,REAL
0.35626113,0.03505326,1530.5570991189177,1032.953299320195,2367.5273505526798,0.07074635981037151,-481.99994,85.62307,39.0078,28.53477,17.481508,8.079082,-2.2881749,-1.516318,-2.7933402,-3.5301676,-4.241926,-3.589648,-5.9982963,-9.714868,-6.936681,-3.1974878,-5.923996,-3.4753592,-2.8719351,-5.1082916,REAL
0.37808484,0.03412218,1754.2316114926912,1245.7981980583347,2862.6689189189187,0.08340560147200772,-446.83002,90.687164,20.29634,30.59872,14.561019,5.046158,-9.40809,-2.5472581,-5.8076525,-8.604606,-7.331719,-4.2514343,-1.4246054,-8.120324,-1.414697,-2.1189067,-5.7829466,-2.5986938,-5.480237,-3.8854387,REAL
0.39503494,0.034387477,2131.4215786209766,1432.2904199838556,3431.337584504402,0.09452928478134674,-461.30515,66.29307,0.9674148,30.645052,16.870617,10.889465,-7.303929,0.9258597,-5.26622,-9.916369,-6.418334,-6.7410016,2.6086574,-8.0876045,-3.1176372,2.0638683,-5.222435,0.50721145,-4.2745533,-5.5639534,REAL
0.39124152,0.03189515,1902.1782307212184,1350.3631042186237,3100.6812506046826,0.09105462703173374,-482.09326,82.21984,22.46417,31.32335,7.8684144,6.4463267,-7.020645,1.5820609,-7.5893464,-13.406652,-5.1251373,-4.3320894,-3.249796,-12.6146965,-2.4620867,0.37323368,-5.7716203,1.1197854,-6.0199885,-5.6216507,REAL
0.33709407,0.028707575,1581.2520374037163,1045.7304423133717,2404.010463277622,0.08662797201528638,-517.9682,87.06689,35.89431,29.564722,16.550741,4.720403,-5.217717,-5.4840536,-10.103272,-11.304325,-6.23133,-1.559758,-2.3639996,-7.3652916,-3.8096588,-1.2499073,-3.945751,-5.160477,-4.764827,-7.792321,REAL
0.38401133,0.035793353,1760.6526838256552,1175.5179989246626,2885.133043433636,0.07337161599207882,-475.16794,90.06171,28.72639,18.933084,10.619402,10.366877,-4.09103,-4.045007,-3.7024763,-4.4824233,-5.975893,-0.8434005,-1.4382586,-9.39854,-0.4486016,-2.0469341,-5.966111,-1.3958704,-2.6059227,-5.329642,REAL
